# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4313.5000 F3803 111229 2 510.5000 pm106 c56 291 N pm106->c42->c56
4324.5000 F4230 312770 1 94.5000 cm113 w78 298 N cm113->w78
4336.3000 F2978 387212 3 1358.3000 pm109 w95 277 N pm109->w92->c53->w95
4370.3000 F3918 420189 2 452.3000 pm109 t101 292 N pm109->pm105->t101
4407.6000 F2130 115937 4 2277.6000 cm115 c32 262 N cm115->w79->c63->p21->c32
4408.2000 F3493 492206 2 915.2000 pm103 p28 284 N pm103->c53->p28
4420.9000 M68 649807 2 2393.9000 p4 w69 260 N p4->p8->w69
4428.5000 F2077 253785 3 2351.5000 pm102 p28 260 N pm102->t97->t96->p28
4433.4000 F1699 140908 5 2734.4000 cm117 c53 254 N cm117->pm103->c36->w89->t96->c53
4436.6000 F1873 202448 4 2563.6000 cm111 c53 257 N cm111->c51->c40->p5->c53
4442.8000 F1063 292440 3 3379.8000 cm114 c58 243 N cm114->t97->t96->c58
4462.3000 F2988 127258 2 1474.3000 wm119 c46 275 N wm119->c35->c46
4477.7000 F2599 383805 3 1878.7000 cm114 p13 268 N cm114->w90->c51->p13
4484.7000 F1183 430074 2 3301.7000 cm114 p5 244 N cm114->t97->p5
4493.0000 F2556 313196 5 1937.0000 pm104 c48 267 N pm104->p24->c59->c55->p5->c48
4508.1000 F241 195057 5 4267.1000 pm104 p21 228 N pm104->w65->w64->p10->t98->p21
4512.4000 F2781 336171 4 1731.4000 pm105 p11 271 N pm105->p21->w66->t98->p11
4525.9000 F3726 204125 2 799.9000 pm109 c42 286 N pm109->c45->c42
4538.3000 F4347 109770 1 191.3000 pm106 c59 296 N pm106->c59
4553.9000 F4454 172362 1 99.9000 cm116 w68 298 N cm116->w68
4568.1000 F2918 147446 4 1650.1000 pm109 pm102 272 N pm109->p30->w90->c51->pm102
4572.6000 F1468 129150 3 3104.6000 wm123 w66 248 N wm123->w77->t98->w66
4612.1000 F2659 485710 3 1953.1000 pm109 c47 267 N pm109->p30->w94->c47
4618.4000 F4493 192018 1 125.4000 cm116 c51 297 N cm116->c51
4624.4000 F3211 251078 2 1413.4000 cm111 t97 276 N cm111->t101->t97
4627.3000 F4379 421409 1 248.3000 wm118 c40 295 N wm118->c40
4638.7000 F4183 205845 1 455.7000 pm102 cm116 292 N pm102->cm116
4667.7000 F4646 158160 1 21.7000 wm121 p27 299 N wm121->p27
4677.9000 F4567 232512 1 110.9000 cm110 p15 298 N cm110->p15
4699.3000 F4216 201822 2 483.3000 pm109 w64 291 N pm109->t101->w64
4721.3000 F3900 280753 2 821.3000 wm120 p19 286 N wm120->t100->p19
4726.3000 F4513 197197 1 213.3000 cm115 w77 296 N cm115->w77
4727.0000 F4622 159213 1 105.0000 cm115 w77 298 N cm115->w77
4734.4000 F1087 110374 5 3647.4000 pm108 c50 239 N pm108->p10->c45->w71->c62->c50
4734.7000 F3347 416146 3 1387.7000 cm110 c55 276 N cm110->c43->p3->c55
4736.0000 F3741 237471 3 995.0000 wm120 cm112 283 N wm120->t100->t99->cm112
4753.2000 F4341 307873 1 412.2000 pm109 c36 293 N pm109->c36
4755.1000 F4664 458459 1 91.1000 pm109 c36 298 N pm109->c36
4758.2000 F2373 248017 3 2385.2000 pm104 cm116 260 N pm104->w70->t97->cm116
4786.9000 F2252 428675 3 2534.9000 wm124 p11 257 N wm124->t96->t97->p11
4788.6000 F4265 301162 4 523.6000 pm109 w95 291 N pm109->pm105->w77->cm115->w95
4802.6000 F4755 287799 1 47.6000 wm118 c58 299 N wm118->c58
4842.8000 F2962 159722 3 1880.8000 pm107 c40 268 N pm107->c56->c32->c40
4844.3000 F4759 466660 1 85.3000 cm115 p8 298 N cm115->p8
4847.0000 F4843 338083 1 4.0000 wm125 w64 299 N wm125->w64
4872.0000 F1924 109111 4 2948.0000 cm117 t96 250 N cm117->p6->p11->c63->t96
4876.9000 F1898 279423 3 2978.9000 cm113 c32 250 N cm113->w75->cm112->c32
4877.5000 F1170 109720 4 3707.5000 cm110 p23 238 N cm110->p22->p31->w76->p23
